code,name,folded,description,description-2,link
241,ñ,ñ,Lower Case Eñe,,https://en.wikipedia.org/wiki/%C3%91
242,ò,ò,Lower Case O-Grave,,https://en.wikipedia.org/wiki/%C3%92
243,ó,ó,Lower Case O-Acute,,https://en.wikipedia.org/wiki/%C3%93
244,ô,ô,Lower Case O-Circumflex,,https://en.wikipedia.org/wiki/%C3%94
245,õ,õ,Lower Case O With Tilde,,https://en.wikipedia.org/wiki/%C3%95
246,ö,ö,Lower Case O With Umlaut,,https://en.wikipedia.org/wiki/%C3%96
247,÷,,Obelus,Division Sign / Divide Sign,https://en.wikipedia.org/wiki/Obelus
248,ø,ø,Lower Case Ø,,https://en.wikipedia.org/wiki/%C3%98
249,ù,ù,Lower Case U-Grave,,https://en.wikipedia.org/wiki/%C3%99
250,ú,ú,Lower Case U-Acute,,https://en.wikipedia.org/wiki/%C3%9A
251,û,û,Lower Case U-Circumflex,,https://en.wikipedia.org/wiki/%C3%9B
252,ü,ü,Lower Case U With Umlaut,,https://en.wikipedia.org/wiki/%C3%9C
253,ý,ý,Lower Case Y-Acute,,https://en.wikipedia.org/wiki/%C3%9D
254,þ,þ,Lower Case Þ,Thorn / Þorn,https://en.wikipedia.org/wiki/Thorn_(letter)
255,ÿ,ÿ,Lower Case Y With Umlaut,,https://en.wikipedia.org/wiki/%C5%B8
